siteid,sitename,damname,county,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,windowstart,windowend,Chl_a,label,B11,B2,B2_B3,B3,B3_B2,B3_B4,B4,B5,B5_B4,B8,CI,FAI,NDCI,NDRE,NDVI,NDWI
2107,田浦水庫,田浦水庫,金門縣,118.454703,24.474092,194725.21,2707638.08,2021-05-27,2021-05-24,2021-05-30,122,2,0.0351,0.0533,0.5411168,0.0985,1.84803,1.6924398,0.0582,0.1126,1.9347079,0.0373,0.9347078,-0.016573334,0.31850114,-0.5023349,-0.21884815,0.4506627
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2024-04-03,2024-03-31,2024-04-06,121,2,0.01385,0.070199996,1.0234817,0.0686,0.97707105,1.4223093,0.048249997,0.059949998,1.2421529,0.040200002,0.24215296,-0.001850635,0.10799185,-0.19973867,-0.09673332,0.2635997
2107,田浦水庫,田浦水庫,金門縣,118.454703,24.474092,194725.21,2707638.08,2023-10-24,2023-10-21,2023-10-27,117,2,0.0088,0.0415,0.49522668,0.0838,2.0192773,1.9857821,0.0422,0.0961,2.2772512,0.0276,1.2772512,-0.008344127,0.38973248,-0.5537591,-0.20916905,0.50448835
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2024-04-03,2024-03-31,2024-04-06,116,2,0.01035,0.0575,0.97854114,0.05875,1.0219436,1.5319922,0.03835,0.052249998,1.3623271,0.0271,0.36232716,-0.006608571,0.15337631,-0.3295964,-0.19191891,0.37591428
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2023-03-06,2023-03-03,2023-03-09,113,2,0.0514,0.091749996,0.9642916,0.095149994,1.0371286,1.1534712,0.082499996,0.0925,1.121388,0.07345,0.12138806,-0.003224921,0.057152063,-0.11478238,-0.058006555,0.1287053
2109,西湖水庫,西湖水庫,金門縣,118.231387,24.435038,172063.67,2703419.98,2022-08-12,2022-08-09,2022-08-15,112,2,0.0142,0.0294,0.50342464,0.0584,1.9863945,2.070922,0.0282,0.0832,2.9503546,0.0269,1.9503546,0.001322223,0.49371633,-0.5113533,-0.02359346,0.36928487
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2023-03-06,2023-03-03,2023-03-09,111,2,0.03765,0.06730001,0.94321483,0.07134999,1.0602543,1.187392,0.0601,0.07065,1.1759167,0.057099998,0.17591658,0.00120492,0.08072483,-0.10605979,-0.025547534,0.11094179
2116,勝利水庫,勝利水庫,連江縣,119.93577,26.152563,343559.02,2893784.31,2021-01-20,2021-01-17,2021-01-23,110,2,0.078999996,0.0585,0.736478,0.07925,1.3607062,1.1773577,0.0673,0.0809,1.2040188,0.05525,0.20401886,-0.014241427,0.092235744,-0.18905401,-0.09860448,0.17862242
2106,榮湖水庫,榮湖水庫,金門縣,118.410342,24.486492,190234.25,2709029.93,2021-05-27,2021-05-24,2021-05-30,107,2,0.024,0.0408,0.42279795,0.0965,2.365196,2.1302428,0.0453,0.1024,2.2604856,0.03,1.2604856,-0.011310477,0.38659444,-0.5468278,-0.20318726,0.5256917
2187,鳳山水庫三,鳳山水庫,高雄市,120.3884831,22.5386719,187100.15,2493329.06,2020-06-15,2020-06-12,2020-06-18,106,2,0.01845,0.0277,1.0475668,0.026349999,0.9590693,1.6183376,0.01635,0.025249999,1.5445983,0.00435,0.5445984,-0.012393333,0.21402048,-0.7129987,-0.58993524,0.7221985
